RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing
0001 -4.00000 2.33020 1.00000 1.00000 1.00000 0.05718 1.30000 1.66125 
0002 -3.98889 2.82839 1.00000 1.00000 1.00000 0.05711 1.30000 1.86605 
0003 -3.97778 1.01139 1.00000 1.00000 1.00000 0.05703 1.30000 1.00682 
0004 -3.96667 1.53135 1.00000 1.00000 1.00000 0.05696 1.30000 1.29135 
0005 -3.95556 1.69889 1.00000 1.00000 1.00000 0.05688 1.30000 1.37435 
0006 -3.94444 1.37839 1.00000 1.00000 1.00000 0.05681 1.30000 1.21234 
0007 -3.92778 1.13558 1.00000 1.00000 1.00000 0.05670 1.30000 1.07927 
0008 -3.76528 2.11229 1.00000 1.00000 1.00000 0.05563 1.30000 1.56622 
0009 -3.75417 2.49040 1.00000 1.00000 1.00000 0.05556 1.30000 1.72886 
0010 -3.74306 1.01289 1.00000 1.00000 1.00000 0.05549 1.30000 1.00771 
0011 -3.73194 1.45277 1.00000 1.00000 1.00000 0.05542 1.30000 1.25118 
0012 -3.72083 1.58721 1.00000 1.00000 1.00000 0.05535 1.30000 1.31941 
0013 -3.70972 1.35769 1.00000 1.00000 1.00000 0.05528 1.30000 1.20138 
0014 -3.69306 1.10737 1.00000 1.00000 1.00000 0.05517 1.30000 1.06310 
0015 -3.53056 1.93810 1.00000 1.00000 1.00000 0.05417 1.30000 1.48739 
0016 -3.51944 2.22900 1.00000 1.00000 1.00000 0.05411 1.30000 1.61758 
0017 -3.50833 1.01693 1.00000 1.00000 1.00000 0.05404 1.30000 1.01012 
0018 -3.49722 1.38647 1.00000 1.00000 1.00000 0.05397 1.30000 1.21660 
0019 -3.48611 1.49304 1.00000 1.00000 1.00000 0.05391 1.30000 1.27187 
0020 -3.47500 1.34319 1.00000 1.00000 1.00000 0.05384 1.30000 1.19367 
0021 -3.45833 1.08371 1.00000 1.00000 1.00000 0.05374 1.30000 1.04942 
0022 -3.29583 1.79655 1.00000 1.00000 1.00000 0.05280 1.30000 1.42123 
0023 -3.28472 2.02178 1.00000 1.00000 1.00000 0.05273 1.30000 1.52560 
0024 -3.27361 1.02355 1.00000 1.00000 1.00000 0.05267 1.30000 1.01407 
0025 -3.26250 1.33042 1.00000 1.00000 1.00000 0.05261 1.30000 1.18684 
0026 -3.25139 1.41307 1.00000 1.00000 1.00000 0.05254 1.30000 1.23055 
0027 -3.24028 1.33457 1.00000 1.00000 1.00000 0.05248 1.30000 1.18906 
0028 -3.22361 1.06422 1.00000 1.00000 1.00000 0.05239 1.30000 1.03805 
0029 -3.06111 1.68007 1.00000 1.00000 1.00000 0.05150 1.30000 1.36520 
0030 -3.05000 1.85427 1.00000 1.00000 1.00000 0.05144 1.30000 1.44845 
0031 -3.03889 1.03284 1.00000 1.00000 1.00000 0.05138 1.30000 1.01957 
0032 -3.02778 1.28308 1.00000 1.00000 1.00000 0.05132 1.30000 1.16132 
0033 -3.01667 1.34480 1.00000 1.00000 1.00000 0.05126 1.30000 1.19452 
0034 -3.00556 1.33162 1.00000 1.00000 1.00000 0.05120 1.30000 1.18749 
0035 -2.98889 1.04855 1.00000 1.00000 1.00000 0.05111 1.30000 1.02885 
0036 -2.82639 1.58331 1.00000 1.00000 1.00000 0.05027 1.30000 1.31747 
0037 -2.81528 1.71675 1.00000 1.00000 1.00000 0.05021 1.30000 1.38300 
0038 -2.80417 1.04489 1.00000 1.00000 1.00000 0.05016 1.30000 1.02670 
0039 -2.79306 1.24323 1.00000 1.00000 1.00000 0.05010 1.30000 1.13955 
0040 -2.78194 2.80115 1.00000 1.00000 1.00000 0.05005 1.30000 1.85525 
0041 -2.77083 1.28376 1.00000 1.00000 1.00000 0.04999 1.30000 1.16169 
0042 -2.75972 1.33457 1.00000 1.00000 1.00000 0.04994 1.30000 1.18906 
