IFNOISE  = 1
IFSCINT  = 0
IFCOSRAY = 0
VARSEE   = 2
IFVAR    = 0
IFGRAY   = 1
RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing  gray
0001 -4.00000 2.33020 1.00000 1.00000 1.00000 0.03000 1.30000 3.32251 1.02510
0002 -3.98889 2.82839 1.00000 1.00000 1.00000 0.03000 1.30000 3.73210 1.00022
0003 -3.97778 1.01139 1.00000 1.00000 1.00000 0.03000 1.30000 2.01364 1.01579
0004 -3.96667 1.53135 1.00000 1.00000 1.00000 0.03000 1.30000 2.58271 1.03368
0005 -3.95556 1.69889 1.00000 1.00000 1.00000 0.03000 1.30000 2.74871 1.04619
0006 -3.94444 1.37839 1.00000 1.00000 1.00000 0.03000 1.30000 2.42467 1.04790
0007 -3.92778 1.13558 1.00000 1.00000 1.00000 0.03000 1.30000 2.15854 1.03478
0008 -3.76528 2.11229 1.00000 1.00000 1.00000 0.03000 1.30000 3.13244 1.00791
0009 -3.75417 2.49040 1.00000 1.00000 1.00000 0.03000 1.30000 3.45773 1.00530
0010 -3.74306 1.01289 1.00000 1.00000 1.00000 0.03000 1.30000 2.01543 1.00774
0011 -3.73194 1.45277 1.00000 1.00000 1.00000 0.03000 1.30000 2.50235 1.04417
0012 -3.72083 1.58721 1.00000 1.00000 1.00000 0.03000 1.30000 2.63883 1.03087
0013 -3.70972 1.35769 1.00000 1.00000 1.00000 0.03000 1.30000 2.40276 1.04464
0014 -3.69306 1.10737 1.00000 1.00000 1.00000 0.03000 1.30000 2.12620 1.02792
0015 -3.53056 1.93810 1.00000 1.00000 1.00000 0.03000 1.30000 2.97478 1.01450
0016 -3.51944 2.22900 1.00000 1.00000 1.00000 0.03000 1.30000 3.23517 1.04587
0017 -3.50833 1.01693 1.00000 1.00000 1.00000 0.03000 1.30000 2.02025 1.01437
0018 -3.49722 1.38647 1.00000 1.00000 1.00000 0.03000 1.30000 2.43319 1.00729
0019 -3.48611 1.49304 1.00000 1.00000 1.00000 0.03000 1.30000 2.54374 1.00757
0020 -3.47500 1.34319 1.00000 1.00000 1.00000 0.03000 1.30000 2.38733 1.02203
0021 -3.45833 1.08371 1.00000 1.00000 1.00000 0.03000 1.30000 2.09884 1.02256
0022 -3.29583 1.79655 1.00000 1.00000 1.00000 0.03000 1.30000 2.84245 1.01232
0023 -3.28472 2.02178 1.00000 1.00000 1.00000 0.03000 1.30000 3.05120 1.03747
0024 -3.27361 1.02355 1.00000 1.00000 1.00000 0.03000 1.30000 2.02813 1.01885
0025 -3.26250 1.33042 1.00000 1.00000 1.00000 0.03000 1.30000 2.37369 1.04061
0026 -3.25139 1.41307 1.00000 1.00000 1.00000 0.03000 1.30000 2.46109 1.00239
0027 -3.24028 1.33457 1.00000 1.00000 1.00000 0.03000 1.30000 2.37812 1.02111
0028 -3.22361 1.06422 1.00000 1.00000 1.00000 0.03000 1.30000 2.07610 1.03752
0029 -3.06111 1.68007 1.00000 1.00000 1.00000 0.03000 1.30000 2.73040 1.01218
0030 -3.05000 1.85427 1.00000 1.00000 1.00000 0.03000 1.30000 2.89690 1.01071
0031 -3.03889 1.03284 1.00000 1.00000 1.00000 0.03000 1.30000 2.03915 1.00508
0032 -3.02778 1.28308 1.00000 1.00000 1.00000 0.03000 1.30000 2.32264 1.01109
0033 -3.01667 1.34480 1.00000 1.00000 1.00000 0.03000 1.30000 2.38905 1.00100
0034 -3.00556 1.33162 1.00000 1.00000 1.00000 0.03000 1.30000 2.37497 1.01355
0035 -2.98889 1.04855 1.00000 1.00000 1.00000 0.03000 1.30000 2.05771 1.01807
0036 -2.82639 1.58331 1.00000 1.00000 1.00000 0.03000 1.30000 2.63493 1.02852
0037 -2.81528 1.71675 1.00000 1.00000 1.00000 0.03000 1.30000 2.76601 1.01331
0038 -2.80417 1.04489 1.00000 1.00000 1.00000 0.03000 1.30000 2.05339 1.03297
0039 -2.79306 1.24323 1.00000 1.00000 1.00000 0.03000 1.30000 2.27909 1.00003
0040 -2.78194 2.80115 1.00000 1.00000 1.00000 0.03000 1.30000 3.71050 1.03176
0041 -2.77083 1.28376 1.00000 1.00000 1.00000 0.03000 1.30000 2.32338 1.04578
0042 -2.75972 1.33457 1.00000 1.00000 1.00000 0.03000 1.30000 2.37812 1.00644
0043 -2.74306 1.03598 1.00000 1.00000 1.00000 0.03000 1.30000 2.04287 1.04957
0044 -2.58056 1.49890 1.00000 1.00000 1.00000 0.03000 1.30000 2.54972 1.02069
0045 -2.56944 1.59753 1.00000 1.00000 1.00000 0.03000 1.30000 2.64910 1.03878
0046 -2.55833 1.06063 1.00000 1.00000 1.00000 0.03000 1.30000 2.07190 1.02268
0047 -2.54722 1.20852 1.00000 1.00000 1.00000 0.03000 1.30000 2.24070 1.01117
0048 -2.53611 2.45521 1.00000 1.00000 1.00000 0.03000 1.30000 3.42833 1.04823
0049 -2.52500 2.81598 1.00000 1.00000 1.00000 0.03000 1.30000 3.72227 1.00764
0050 -2.51389 1.22961 1.00000 1.00000 1.00000 0.03000 1.30000 2.26407 1.01422
0051 -2.50278 1.34431 1.00000 1.00000 1.00000 0.03000 1.30000 2.38853 1.04217
0052 -2.48611 1.02681 1.00000 1.00000 1.00000 0.03000 1.30000 2.03200 1.03661
0053 -2.32361 1.42571 1.00000 1.00000 1.00000 0.03000 1.30000 2.47428 1.03191
0054 -2.31250 1.49419 1.00000 1.00000 1.00000 0.03000 1.30000 2.54491 1.01612
0055 -2.30139 1.08072 1.00000 1.00000 1.00000 0.03000 1.30000 2.09536 1.00788
0056 -2.29028 1.17903 1.00000 1.00000 1.00000 0.03000 1.30000 2.20773 1.04627
0057 -2.27917 2.18058 1.00000 1.00000 1.00000 0.03000 1.30000 3.19281 1.00355
0058 -2.26806 2.47689 1.00000 1.00000 1.00000 0.03000 1.30000 3.44646 1.04492
0059 -2.25694 1.18382 1.00000 1.00000 1.00000 0.03000 1.30000 2.21311 1.04955
0060 -2.24583 1.36112 1.00000 1.00000 1.00000 0.03000 1.30000 2.40641 1.03112
0061 -2.22917 1.02153 1.00000 1.00000 1.00000 0.03000 1.30000 2.02572 1.02032
0062 -2.06667 1.36518 1.00000 1.00000 1.00000 0.03000 1.30000 2.41071 1.02374
0063 -2.05556 1.40812 1.00000 1.00000 1.00000 0.03000 1.30000 2.45592 1.00630
0064 -2.04444 1.10483 1.00000 1.00000 1.00000 0.03000 1.30000 2.12328 1.01699
0065 -2.03333 1.15576 1.00000 1.00000 1.00000 0.03000 1.30000 2.18147 1.00979
0066 -2.02222 1.96729 1.00000 1.00000 1.00000 0.03000 1.30000 3.00159 1.02704
